测试套/软件包名,测试用例总数,通过,未通过,备注,总测试套数,总测试用例数,总通过用例数,总未通过用例数
byacc,4,0,4,,290,1006,195,811
targetcli,4,0,4
389-ds-base,2,0,2
spice-vdagent,2,2,0
mysql5,1,0,1
clamav,16,0,16
pngquant,1,0,1
psacct,2,0,2
netcf,1,0,1
ipmitool,3,0,3
dracut,8,7,1
dkms,1,0,1
sysstat,3,3,0
mksh,1,1,0
lorax,2,0,2
util-linux,3,0,3
cloud-init,6,2,4
openhpi,1,0,1
procinfo,2,0,2
cockpit,3,1,2
cyrus-sasl,1,0,1
unbound,3,1,2
mt-st,1,0,1
perl-Net-Server,1,0,1
bcrypt,1,0,1
pesign,1,0,1
keyutils,2,1,1
krb5,3,0,3
colm,1,0,1
iputils,2,0,2
kubernetes,5,0,5
opencryptoki,1,0,1
qemu,3,0,3
zerofree,1,1,0
libstoragemgmt,1,0,1
jetty,2,0,2
mcstrans,2,0,2
freeradius,18,0,18
initscripts,5,0,5
sendmail,2,0,2
anaconda,9,8,1
ganglia,2,0,2
ModemManager,1,0,1
ImageMagick,8,0,8
xinetd,1,0,1
libcgroup,1,0,1
osc,8,0,8
spawn-fcgi,1,0,1
kexec-tools,1,0,1
httpd,4,1,3
sysprof,2,0,2
xmltoman,1,1,0
man-db,2,2,0
cmake,8,0,8
freeipmi,3,0,3
ebtables,1,0,1
initial-setup,1,1,0
scsi-target-utils,1,0,1
clang,3,1,2
lm_sensors,3,0,3
rsyslog,27,12,15
OpenEXR,7,0,7
ruby,12,7,5
git,1,0,1
pcsc-lite,2,0,2
python-rtslib,1,0,1
dbxtool,1,0,1
lldpad,2,0,2
mariadb,3,0,3
iSulad,1,0,1
oddjob,1,0,1
nfs-utils,16,0,16
mlocate,1,1,0
libosinfo,3,0,3
libcanberra,3,3,0
irqbalance,1,0,1
rdma-core,2,0,2
mpg123,1,0,1
swig,11,11,0
polkit,1,1,0
djvulibre,5,0,5
keepalived,1,0,1
rdate,1,0,1
openldap,1,0,1
radvd,1,0,1
opensp,6,0,6
mrtg,1,0,1
iptables,2,0,2
erlang,2,0,2
rsync,2,0,2
ypserv,3,0,3
iftop,1,0,1
mailman,1,0,1
phodav,1,0,1
smartmontools,1,1,0
usbmuxd,1,1,0
rpmdevtools,5,0,5
tidy,16,14,2
mysql,1,0,1
arpwatch,1,0,1
zvbi,1,0,1
ipset,1,0,1
tang,3,2,1
realmd,1,0,1
proftpd,2,0,2
libcap,9,6,3
yelp-tools,3,0,3
ipwatchd,1,0,1
mutt,1,0,1
iprutils,4,0,4
PackageKit,2,1,1
php,8,0,8
fprintd,1,1,0
policycoreutils,4,3,1
dbus,2,2,0
firebird,1,0,1
crontabs,1,0,1
linuxptp,2,0,2
geos,1,0,1
python-wheel,2,0,2
doxygen,1,0,1
chrony,2,0,2
qt5-qttools,12,0,12
telnet,1,0,1
sblim-sfcb,1,0,1
net-snmp,2,0,2
atune,2,0,2
vdo,1,0,1
audit,28,1,27
gegl04,2,0,2
cvs,2,0,2
sane-backends,1,0,1
netlabel_tools,1,0,1
vsftpd,2,0,2
sos,4,0,4
uuid,2,2,0
ypbind,1,0,1
libmemcached,12,0,12
javapackages-tools,6,0,6
haveged,1,0,1
switcheroo-control,1,0,1
sssd,17,2,15
avahi,3,2,1
watchdog,3,0,3
open-iscsi,7,1,6
cups-filters,1,0,1
cppcheck,2,0,2
bolt,1,0,1
timedatex,1,0,1
docker-engine,1,0,1
amanda,4,0,4
authz,1,0,1
colord,1,1,0
tcllib,3,0,3
sanlock,3,1,2
redis6,4,0,4
nagios,1,0,1
sqlite,17,3,14
gnome-shell,1,0,1
junit5,13,0,13
accountsservice,1,1,0
cryptsetup,2,0,2
ostree,1,1,0
conntrack-tools,1,0,1
kernel,4,0,4
fcgi,1,0,1
cracklib,1,0,1
sqlite-jdbc,1,0,1
jq,1,1,0
redis,4,2,2
udisks2,1,0,1
tomcat,3,0,3
derby,1,0,1
glusterfs,5,0,5
